Stacja,Data,Zachmurzenie,Wilgotność,Opad,Temperatura średnia,Temperatura minimalna,Temperatura maksymalna,Ciśnienie,Liczba plam słonecznych,Odchylenie standardowe,Liczba obserwacji,HNSE,VNSE,Dostępność (Availability),Liczba zdarzeń nieciągłości (events of discontinuity),HNSE,VNSE,Dostępność (Availability),Liczba zdarzeń nieciągłości (events of discontinuity)
350190566KRAKÓW-BALICE,3/10/2014,0.60,55.60,0.09,5.70,-1.50,13.70,1000.20,113.00,8.60,20.00,3.26,4.01,1.00,0.00,3.24,3.92,1.00,656.00
350190566KRAKÓW-BALICE,3/11/2014,0.30,58.00,0.09,4.70,-3.80,13.30,998.80,111.00,5.60,17.00,3.53,4.00,1.00,0.00,3.53,4.00,1.00,642.00
350190566KRAKÓW-BALICE,3/12/2014,0.80,62.80,0.09,5.50,-1.00,11.80,1003.40,132.00,9.90,21.00,4.26,3.76,1.00,0.00,4.21,3.69,1.00,675.00
350190566KRAKÓW-BALICE,3/13/2014,0.00,59.30,0.09,5.70,-2.70,16.00,999.80,112.00,8.80,17.00,3.30,4.20,1.00,0.00,3.32,4.19,1.00,486.00
350190566KRAKÓW-BALICE,3/14/2014,0.90,59.50,0.09,7.30,-1.00,16.80,993.70,109.00,5.80,21.00,3.88,4.02,1.00,0.00,3.84,3.97,1.00,764.00
350190566KRAKÓW-BALICE,3/15/2014,4.90,78.80,11.60,4.40,-1.20,10.80,978.70,111.00,7.00,14.00,3.34,4.21,1.00,0.00,3.35,4.21,1.00,519.00
350190566KRAKÓW-BALICE,3/16/2014,7.80,83.90,6.50,6.10,1.90,10.10,973.50,122.00,6.20,14.00,3.02,4.22,1.00,0.00,3.00,4.14,1.00,722.00
350190566KRAKÓW-BALICE,3/17/2014,7.40,74.10,0.09,9.90,5.30,13.00,981.30,126.00,11.40,14.00,3.21,4.28,1.00,0.00,3.19,4.27,1.00,462.00
350190566KRAKÓW-BALICE,3/18/2014,7.00,68.40,2.80,9.50,6.50,12.90,985.20,136.00,10.40,12.00,3.81,3.98,1.00,2.00,3.82,4.00,1.00,2.00
350190566KRAKÓW-BALICE,3/19/2014,7.00,85.60,1.10,8.40,6.60,10.60,985.10,141.00,8.40,19.00,3.31,4.17,1.00,0.00,3.35,4.15,1.00,497.00
350190566KRAKÓW-BALICE,3/20/2014,4.00,64.40,0.09,10.90,7.00,17.90,991.80,139.00,8.50,19.00,4.32,5.24,1.00,0.00,4.29,5.30,1.00,621.00
350190566KRAKÓW-BALICE,3/21/2014,5.40,53.60,0.09,11.50,-0.20,22.00,986.40,126.00,7.40,20.00,5.16,5.19,1.00,0.00,5.17,5.16,1.00,664.00
350190566KRAKÓW-BALICE,3/22/2014,4.90,57.30,0.09,12.00,3.20,20.60,979.60,146.00,8.40,12.00,4.66,5.23,1.00,0.00,4.68,5.29,1.00,334.00
350190566KRAKÓW-BALICE,3/23/2014,5.90,73.50,2.90,11.20,4.60,16.00,974.80,151.00,11.60,15.00,4.73,4.66,1.00,0.00,4.71,4.57,1.00,495.00
350190566KRAKÓW-BALICE,3/24/2014,7.90,88.50,3.70,6.40,4.80,11.70,976.00,137.00,7.80,18.00,3.41,5.30,1.00,0.00,3.43,5.24,1.00,357.00
350190566KRAKÓW-BALICE,3/25/2014,5.60,79.80,0.40,4.20,3.10,8.40,979.50,136.00,7.60,17.00,3.36,5.53,1.00,0.00,3.38,5.47,1.00,354.00
350190566KRAKÓW-BALICE,3/26/2014,3.60,74.40,0.09,4.50,-2.10,10.80,987.60,112.00,5.90,12.00,3.88,5.71,1.00,0.00,3.85,5.63,1.00,495.00
350190566KRAKÓW-BALICE,3/27/2014,5.80,76.30,0.09,6.40,-0.10,11.60,989.00,115.00,7.10,16.00,3.72,6.18,1.00,0.00,3.68,6.18,1.00,639.00
350190566KRAKÓW-BALICE,3/28/2014,6.40,84.00,0.09,8.40,6.50,12.40,990.30,122.00,8.40,18.00,3.95,5.07,1.00,0.00,3.93,5.07,1.00,263.00
350190566KRAKÓW-BALICE,3/29/2014,1.00,65.10,0.09,8.60,2.20,14.60,994.90,118.00,6.20,17.00,3.54,5.53,1.00,0.00,3.52,5.52,1.00,370.00
350190566KRAKÓW-BALICE,3/30/2014,0.30,54.50,0.09,8.30,-1.40,17.60,990.00,101.00,6.30,17.00,3.13,5.99,1.00,0.00,3.11,5.96,1.00,477.00
350190566KRAKÓW-BALICE,3/31/2014,3.60,60.40,0.09,8.80,-0.10,17.70,983.30,118.00,6.60,21.00,3.06,6.22,1.00,4.00,3.08,6.20,1.00,4.00
350190566KRAKÓW-BALICE,4/1/2014,4.00,64.90,0.09,8.50,1.40,15.40,984.40,96.00,5.60,21.00,3.48,5.18,1.00,0.00,3.46,5.19,1.00,614.00
350190566KRAKÓW-BALICE,4/2/2014,2.60,60.10,0.09,6.60,0.20,13.00,985.90,114.00,6.80,20.00,3.36,4.97,1.00,3.00,3.37,4.99,1.00,2.00
350190566KRAKÓW-BALICE,4/3/2014,4.80,55.90,0.00,11.40,2.00,21.20,978.80,133.00,7.30,16.00,2.99,5.26,1.00,1.00,2.97,5.26,1.00,632.00
350190566KRAKÓW-BALICE,4/4/2014,3.10,65.90,0.09,11.30,7.50,16.00,982.40,158.00,8.50,9.00,3.14,4.94,1.00,3.00,3.17,4.89,1.00,2.00
350190566KRAKÓW-BALICE,4/5/2014,6.30,56.60,3.40,8.70,4.70,12.80,986.40,135.00,6.50,14.00,3.32,4.68,0.97,2.00,3.33,4.66,1.00,654.00
350190566KRAKÓW-BALICE,4/6/2014,5.00,75.40,0.09,9.40,5.80,16.70,987.20,121.00,6.50,16.00,3.38,4.75,1.00,0.00,3.30,4.72,1.00,810.00
350190566KRAKÓW-BALICE,4/7/2014,2.40,69.40,0.09,10.90,1.80,19.10,989.60,114.00,7.50,19.00,3.50,4.87,1.00,0.00,3.45,4.83,1.00,551.00
350190566KRAKÓW-BALICE,4/8/2014,4.60,71.60,8.10,14.00,4.90,21.90,984.60,117.00,6.70,21.00,3.70,5.64,1.00,0.00,3.66,5.49,1.00,561.00
350220580RZESZÓW-JASIONKA,1/1/2014,6.60,90.10,0.09,1.70,-1.10,5.10,995.20,124.00,6.20,13.00,3.00,5.64,1.00,0.00,2.98,5.65,1.00,0.00
350220580RZESZÓW-JASIONKA,1/2/2014,3.90,88.40,0.09,1.60,-3.20,6.70,990.10,133.00,7.80,11.00,3.63,5.53,1.00,0.00,3.62,5.53,1.00,0.00
350220580RZESZÓW-JASIONKA,1/3/2014,3.90,85.50,0.00,4.00,-0.40,7.20,991.40,153.00,8.10,10.00,3.53,5.87,1.00,0.00,3.46,5.87,1.00,5.00
350220580RZESZÓW-JASIONKA,1/4/2014,5.90,87.10,0.60,5.80,2.00,9.10,991.90,136.00,11.60,8.00,3.64,5.48,1.00,0.00,3.62,5.41,1.00,0.00
350220580RZESZÓW-JASIONKA,1/5/2014,7.40,78.10,1.90,9.20,3.60,10.70,984.70,134.00,11.30,14.00,2.87,5.93,1.00,0.00,2.93,5.92,1.00,0.00
350220580RZESZÓW-JASIONKA,1/6/2014,6.50,94.30,0.00,5.80,3.50,8.80,992.60,167.00,11.50,15.00,3.62,6.25,0.94,1.00,3.56,6.13,1.00,0.00
350220580RZESZÓW-JASIONKA,1/7/2014,5.10,91.10,0.09,6.00,-0.70,9.60,994.80,140.00,10.20,15.00,3.20,6.14,1.00,0.00,3.21,6.41,0.93,1.00
350220580RZESZÓW-JASIONKA,1/8/2014,3.50,89.50,0.00,6.70,4.50,10.40,995.30,107.00,7.40,16.00,3.81,7.08,1.00,1.00,3.82,6.96,1.00,1.00
350220580RZESZÓW-JASIONKA,1/9/2014,5.80,87.10,1.70,5.60,2.60,8.10,991.10,120.00,9.70,12.00,2.96,7.03,1.00,1.00,2.97,6.98,1.00,1.00
350220580RZESZÓW-JASIONKA,1/10/2014,7.00,77.00,1.80,6.00,4.20,7.80,984.60,137.00,7.90,19.00,3.07,4.56,1.00,0.00,3.03,4.56,1.00,0.00
350220580RZESZÓW-JASIONKA,1/11/2014,6.60,69.30,3.20,4.30,1.00,7.00,990.80,142.00,9.90,13.00,2.99,4.15,1.00,18.00,3.03,4.17,1.00,14.00
